Error results for RHC,
6991.226,1684.04
6991.226,1684.04
6991.226,1684.04
6991.29,1684.039
6991.29,1684.039
6991.29,1684.039
6991.29,1684.039
6991.29,1684.039
6991.29,1684.039
6991.29,1684.039
6992.057,1684.398
6992.052,1684.397
6991.35,1683.94
6987.813,1682.619
6987.813,1682.619
6987.619,1682.495
5914.297,1414.784
5914.42,1414.784
5914.42,1414.784
5766.533,1475.442
5766.533,1475.442
5766.533,1475.442
5756.848,1473.176
6668.173,1692.864
6668.173,1692.864
6669.692,1693.634
6669.692,1693.634
6669.692,1693.634
6669.692,1693.634
6669.637,1693.634
6669.637,1693.634
6668.506,1693.104
6668.506,1693.104
6691.142,1703.385
6813.908,1760.202
6813.02,1759.912
6811.772,1759.587
6811.255,1759.3
6810.755,1759.008
6810.755,1759.008
8289.053,2153.812
8289.053,2153.812
8289.11,2153.826
8289.303,2153.901
8289.303,2153.901
8289.303,2153.901
7684.695,2026.527
8168.323,2127.62
8168.323,2127.62
8380.898,2179.526
8380.886,2179.526
8380.859,2179.515
8718.838,2257.046
8718.838,2257.046
8718.838,2257.046
8718.838,2257.046
8718.838,2257.046
8718.838,2257.046
8718.542,2256.899
8797.967,2281.1
8798.243,2281.231
8980.839,2316.399
8980.839,2316.399
8980.839,2316.399
8980.839,2316.399
8979.793,2316.182
8979.793,2316.182
8979.793,2316.182
8979.793,2316.182
8979.185,2315.972
8979.066,2315.893
8979.066,2315.893
8979.08,2315.902
8979.426,2316.071
8476.474,2211.236
8476.228,2211.104
8476.228,2211.104
8476.228,2211.104
8476.228,2211.104
8399.205,2187.39
8399.205,2187.39
8401.572,2188.389
8408.178,2190.675
8408.178,2190.675
8408.66,2190.865
8408.674,2190.866
8422.323,2195.048
8426.39,2195.607
